respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.10716381530094991,0.14539695179365184
26708,0.12782708867179718,0.0941984205646934
26709,0.3153915343591568,0.8064141129521424
26710,0.5970614438514233,0.8804512898317606
26711,0.15269166306577864,0.4053037054466851
26712,0.48102790546570917,0.9445283349277861
26713,0.2815212581003271,0.4390404609701122
26714,0.13680664118770303,0.2474733986430938
26715,0.12420465176299428,0.11573483640164818
26716,0.124233818348604,0.9160818367351391
26717,0.06659382175568754,0.48711565356816444
26718,0.152302632320651,0.4303083145157083
26719,0.07864285303016229,0.9427003183365958
26720,0.07757378312612852,0.2018433808945111
26721,0.21883570632941482,0.5945363946663279
26722,0.08952409408893097,0.08527084451383803
26723,0.7266943147376448,0.8937577462725531
26724,0.21526148061888323,0.7952682165583986
26725,0.11544590618555185,0.1086459135922102
26726,0.127196969282356,0.07557308068045188
26727,0.1789469969144416,0.8724508925354982
26728,0.17664378607021267,0.5185489303585281
26729,0.11989534418350024,0.19449753785140095
26730,0.13349870218589246,0.16547933165272888
26731,0.1006229668839536,0.44573253827557463
26732,0.11139763412435265,0.1584803701420139
26733,0.9675276741262726,0.9743508440084186
26734,0.7432787577125782,0.5260003931821721
26735,0.11452018858046498,0.3070060023970423
26736,0.07886235540522811,0.1320484119103963
26737,0.09907950736984095,0.07182961161921168
26738,0.7980645529328164,0.8408000007798779
26739,0.12243407464806241,0.15338807719227823
26740,0.1441543496946587,0.12799751762220704
26741,0.1278858483829704,0.9434370852538627
26742,0.1445649033620717,0.42382305816875054
26743,0.10193093544831018,0.48985246727390386
26744,0.07697064857576068,0.655811635258898
26745,0.12175425620197974,0.9249843034023678
26746,0.1310453581642372,0.36282064156625615
26747,0.12021907651655978,0.26000982452032834
26748,0.08865126595720384,0.08761226832633248
26749,0.09333229463430003,0.6067337564631036
26750,0.7985408619298834,0.9318467195403165
26751,0.22908130611993394,0.6295154557381343
26752,0.1137671449525931,0.08619695271546696
26753,0.1068459035045061,0.6039052348488848
26754,0.09885067567921434,0.4932628558483527
26755,0.12294276033732054,0.25892853907812285
26756,0.1270906066940634,0.06809834956257717
26757,0.38767331517774495,0.6293709335234094
26758,0.5,0.9037035787626492
26759,0.10622591383111925,0.134619808520514
26760,0.15064660445121691,0.16567393887293452
26761,0.2204416534931382,0.5869074169552471
26762,0.14018066556159348,0.854721500661395
26763,0.9564760071112829,0.9620420378955888
26764,0.9908867450134998,0.961183986652737
26765,0.05042715030600126,0.522967945384224
26766,0.1250483133986064,0.13296662368004103
26767,0.8328819019297036,0.6415336433758297
26768,0.05374459878305825,0.45852940638159306
26769,0.14649332934280423,0.23740135382850602
26770,0.11984241232983603,0.5799174514800391
26771,0.07443498332334204,0.18059801791573057
26772,0.10166344218592528,0.36912734530677405
26773,0.0675622248544975,0.30240846386575737
26774,0.07816377928841883,0.39904135736206003
26775,0.08342328377942063,0.5076291037899826
26776,0.2853188283263601,0.4081221870074885
26777,0.09479270160955276,0.8743507943710132
26778,0.10709327160154963,0.11318968941068885
26779,0.09336109484084233,0.5596908541615568
26780,0.14997717687647305,0.9623828271644514
26781,0.07433224081118041,0.3691677372660052
26782,0.10349248280974319,0.3112908076965214
26783,0.11778042270753206,0.3187056745871583
26784,0.29844941853232065,0.8933511117246021
26785,0.2672848716775311,0.5923596875030954
26786,0.11132928689154388,0.2122477780923067
26787,0.16326273186736356,0.6369458586596252
26788,0.09480489303721179,0.9422477094538115
26789,0.034405475869855526,0.22528503634638788
26790,0.09974247696225766,0.241730001251265
26791,0.11952593485437228,0.09631712518096507
26792,0.0669143469697641,0.65668305371282
26793,0.12886706987359442,0.928123356563201
26794,0.9180302606800174,0.9060158186217014
26795,0.07008912291026602,0.9395232643858297
26796,0.10074857366403411,0.04686026916053876
26797,0.0778733702836165,0.6441376283577456
26798,0.1225181788794337,0.16851563786132842
26799,0.2878733985932062,0.2994457814638861
26800,0.05899837504539989,0.9410314979533412
26801,0.14395205471163394,0.3223993272573985
26802,0.1203560874468114,0.21877369841331515
26803,0.09649330782174753,0.16316688007866476
26804,0.11489222886587222,0.09631520801003711
26805,0.1311132563387526,0.23566151300910132
26806,0.07180867504005906,0.9231878698430976
26807,0.5556709212795177,0.9314191721138876
26808,0.24280388252756024,0.6244147562146725
26809,0.4893581525505791,0.2597999542435483
26810,0.08239942335913258,0.11996046749158695
26811,0.06616206768748543,0.06573450654294075
26812,0.12394960091858777,0.8252904698031636
26813,0.23416588555567813,0.3533271749909765
26814,0.08975240388577409,0.6363062591854545
26815,0.11934180079398699,0.10377953851421926
26816,0.04885174140834378,0.08532554392707856
26817,0.09062068295121983,0.7153394566484843
26818,0.0983744247340387,0.18099259607525836
26819,0.12076389930667716,0.29054513307790797
26820,0.11858892489008181,0.18255382669224293
26821,0.10383052501889535,0.5324558377292183
26822,0.1359069010073167,0.7200987812583848
26823,0.15179958755890297,0.29370285396089896
26824,0.0916918351429923,0.6758958399551749
26825,0.28909593350329826,0.6645329901921514
26826,0.12542854371626488,0.7107319914781799
26827,0.09934709646058638,0.3454755980713356
26828,0.18187830882526537,0.7197075212368407
26829,0.6309374411919688,0.9056541689526261
26830,0.11134231693346508,0.8671520849900021
26831,0.15253646938461518,0.8426608078408029
26832,0.08555645748656716,0.8748517741105656
26833,0.10837909709210346,0.523574843889008
26834,0.17118935000406468,0.49358637944702566
26835,0.42344740633539885,0.9267873558252602
